"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:37","King's Sorrel and Meadow Knotweed.","Královský šťovík a luční pohanka.","","False","GMM_Bookstand_Alchemy_Info_5","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:179","1 Goblin Berry, 1 Meadow Knotweed","1 gobliní bobule, 1 luční pohanka","","False","GMM_Bookstand_Alchemy_PermDex_Ingredients","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:180","1 Dragonroot, 1 Meadow Knotweed","1 dračí kořen, 1 luční pohanka","","False","GMM_Bookstand_Alchemy_PermStr_Ingredients","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:181","1 Healing Root, 1 Meadow Knotweed","1 léčivý kořen, 1 luční pohanka","","False","GMM_Bookstand_Alchemy_PermHP_Ingredients","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:182","1 Fire Root, 1 Meadow Knotweed","1 ohnivý kořen, 1 luční pohanka","","False","GMM_Bookstand_Alchemy_PermMana_Ingredients","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:183","Brewing these recipes is the highest art of alchemy. They all have the use of king's sorrel and meadow knotweed as an ingredients in common.","Vaření těchto receptů je vrcholným uměním alchymie. Královský šťovík a luční pohanka jsou jejich společné přísady.","","False","GMM_Bookstand_Alchemy_PermPotion_Info","",""
"Data/Scripts/Content/Story/Text.d:765","Temporarily incapacitates target.","Dočasně zneškodní cíl.","","False","GMM_Temp_stun","",""
"Data/Scripts/Content/Items/IT_GMM_Regen_Wand.d:22","Wand of Rejuvenation","Hůlka meditace","","False","GMM_Name_Regen_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Summon_Wand.d:1","Summoner's Wand","Hůlka vyvolávače","","False","GMM_Name_Summon_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:1","Wand of Efficiency","Hůlka efektivnosti","","False","GMM_Name_Efficiency_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:2","Spells cost 35% mana less to cast.","Kouzla stojí o 35 % méně many.","","False","GMM_Desc_Efficiency_Wand_V1","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:3","Spells cost 40% mana less to cast.","Kouzla stojí o 40 % méně many.","","False","GMM_Desc_Efficiency_Wand_V2","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:4","Spells cost 45% mana less to cast.","Kouzla stojí o 45 % méně many.","","False","GMM_Desc_Efficiency_Wand_V3","",""
"Data/Scripts/Content/Items/IT_GMM_Mana_Wand.d:2","Magic Wand","Magická hůlka","","False","GMM_Name_Mana_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Summon_Wand.d:2","Extends summon duration to 3 minutes.","Prodlouží život vyvolaných stvoření na 3 minuty.","","False","GMM_Desc_Summon_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:7","Improve Staff","Vylepšená hůl (1000 zlatých)","","False","GMM_Bless_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:8","Staff is now active!","Hůl je aktivovaná!","","False","GMM_Staff_Activated","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:9","Staff inactive","Hůl je neaktivní","","False","GMM_Staff_Inactive","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:10","I need to pray first!","Nejdřív se musím pomodlit!","","False","GMM_Staff_Inactive_PrayFirst","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:11","Activate Staff","Aktivuj hůl","","False","GMM_Activate_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Regen_Wand.d:23","Magic Circle too low.","Moc nízký magický kruh.","","False","GMM_MagicCircleLow","",""
"Data/Scripts/Content/Items/IT_GMM_Summon_Wand.d:3","Spawns additional Goblin.","Vyvolá další Gobliny.","","False","GMM_Desc_Summon_Wand_V2","",""
"Data/Scripts/Content/Items/IT_GMM_Summon_Wand.d:4","Spawns additional creature.","Vyvolá další stvoření.","","False","GMM_Desc_Summon_Wand_V3","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/Potion_Alchemy.d:373","Mana essence (2 fire nettles, 1 meadow knotweed)","Esence many (2 ohnivé býlí, 1 lesní bobule)","","True","PC_ItPo_Mana_01.description","",""
