"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:217","Infinite summon time duration.","Extends summon duration to 3 minutes.","","False","ItMW_GMM_Stab_04_Summon.TEXT[3]","",""
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:224","Staff of Combat","Staff of Combat","","","ItMW_GMM_Stab_05_Combat.name","",""
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:256","Magic Wand","Magic Wand","","","ItMW_GMM_Stab_01_Mana.name","",""
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:282","Ulthar enchanted this wand.","Ulthar enchanted this wand.","","","ItMW_GMM_Stab_01_Mana.TEXT[3]","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:1","Wand of Efficiency","Wand of Efficiency","","","GMM_Name_Efficiency_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:2","Spells cost 35% mana less to cast.","Spells cost 15% mana less to cast.","","False","GMM_Desc_Efficiency_Wand_V1","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:3","Spells cost 40% mana less to cast.","Spells cost 25% mana less to cast.","","False","GMM_Desc_Efficiency_Wand_V2","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:4","Spells cost 45% mana less to cast.","Spells cost 35% mana less to cast.","","False","GMM_Desc_Efficiency_Wand_V3","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:7","Improve Staff","Improve Staff (1000 gold)","","False","GMM_Bless_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:8","Staff is now active!","Staff is now active!","","","GMM_Staff_Activated","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:9","Staff inactive","Staff inactive","","","GMM_Staff_Inactive","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:10","I need to pray first!","I need to pray first!","","","GMM_Staff_Inactive_PrayFirst","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:11","Activate Staff","Activate Staff","","","GMM_Activate_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Mana_Wand.d:2","Magic Wand","Magic Wand","","","GMM_Name_Mana_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Regen_Wand.d:22","Wand of Rejuvenation","Wand of Rejuvenation","","","GMM_Name_Regen_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Regen_Wand.d:23","Magic Circle too low.","Magic Circle too low.","","","GMM_MagicCircleLow","",""
"Data/Scripts/Content/Items/IT_GMM_Regen_Wand.d:24","Mana regeneration per second:","Mana regeneration per second:","","","GMM_Desc_Regen_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Summon_Wand.d:1","Summoner's Wand","Summoner's Wand","","","GMM_Name_Summon_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Summon_Wand.d:2","Extends summon duration to 3 minutes.","Extends summon duration to 3 minutes.","","","GMM_Desc_Summon_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Summon_Wand.d:3","Spawns additional Goblin.","Spawns additional Goblin.","","","GMM_Desc_Summon_Wand_V2","",""
"Data/Scripts/Content/Items/IT_GMM_Summon_Wand.d:4","Spawns additional creature.","Spawns additional creature.","","","GMM_Desc_Summon_Wand_V3","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:31","1 Forest Berry","1 Woodland Berry","","False","GMM_Bookstand_Alchemy_Berry","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:32","1 Blue Elder","1 Blue Elder","","","GMM_Bookstand_Alchemy_BlueElder","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:33","To brew any healing potions or potions to strengthen magic power, you need a proper mixture of plants:","To brew any healing potions or potions to strengthen magic power, you need a proper mixture of plants:","","","GMM_Bookstand_Alchemy_Info_1","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:34","healing plants and fire plants, combined with Forest Berry for small and Blue Elder for medium potions.","healing plants and fire plants, combined with Woodland Berry for small and Blue Elder for medium potions.","","False","GMM_Bookstand_Alchemy_Info_2","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:35","Stronger potions call for Meadow Knotweed.","Stronger potions call for Meadow Knotweed.","","","GMM_Bookstand_Alchemy_Info_3","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:36","To brew any potions that effect permanent changes to the body or spirit, you need two plants:","To brew any potions that effect permanent changes to the body or spirit, you need two plants:","","","GMM_Bookstand_Alchemy_Info_4","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:37","King's Sorrel and Meadow Knotweed.","King's Sorrel and Meadow Knotweed.","","","GMM_Bookstand_Alchemy_Info_5","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:179","1 Goblin Berry, 1 Meadow Knotweed","1 Goblin Berry, 1 Meadow Knotweed","","","GMM_Bookstand_Alchemy_PermDex_Ingredients","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:180","1 Dragonroot, 1 Meadow Knotweed","1 Dragonroot, 1 Meadow Knotweed","","","GMM_Bookstand_Alchemy_PermStr_Ingredients","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:181","1 Healing Root, 1 Meadow Knotweed","1 Healing Root, 1 Meadow Knotweed","","","GMM_Bookstand_Alchemy_PermHP_Ingredients","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:182","1 Fire Root, 1 Meadow Knotweed","1 Fire Root, 1 Meadow Knotweed","","","GMM_Bookstand_Alchemy_PermMana_Ingredients","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:183","Brewing these recipes is the highest art of alchemy. They all have the use of king's sorrel and meadow knotweed as an ingredients in common.","Brewing these recipes is the highest art of alchemy. They all have the use of king's sorrel and meadow knotweed as an ingredients in common.","","","GMM_Bookstand_Alchemy_PermPotion_Info","",""
