"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:63","Wand of Rejuvenation","","","False","ItMW_GMM_Stab_02_Regen.description","",""
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:67","Mana regeneration per second:","Восстановление маны в секунду:","","False","ItMW_GMM_Stab_02_Regen.TEXT[4]","",""
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:158","Wand of Efficiency","Посох эффективности","","False","ItMW_GMM_Stab_03_Eff.name","",""
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:182","Spells cost 35% mana less to cast.","Снижает требование маны для заклинаний на 35%.","","False","ItMW_GMM_Stab_03_Eff.TEXT[4]","",""
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:192","Summoner's Wand","Посох призывателя","","False","ItMW_GMM_Stab_04_Summon.name","",""
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:217","Infinite summon time duration.","Продляет время призыва до 3 минут.","","False","ItMW_GMM_Stab_04_Summon.TEXT[3]","",""
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:224","Staff of Combat","Посох сражения","","False","ItMW_GMM_Stab_05_Combat.name","",""
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:256","Magic Wand","Магический посох","","False","ItMW_GMM_Stab_01_Mana.name","",""
"Data/Scripts/Content/Items/IT_GMM_Weapons.d:282","Ulthar enchanted this wand.","Ультар наделил этот посох магической силой.","","False","ItMW_GMM_Stab_01_Mana.TEXT[3]","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:31","1 Forest Berry","1 лесная ягода","","False","GMM_Bookstand_Alchemy_Berry","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:32","1 Blue Elder","1 синяя бузина","","False","GMM_Bookstand_Alchemy_BlueElder","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:33","To brew any healing potions or potions to strengthen magic power, you need a proper mixture of plants:","Чтобы сварить любое зелье для лечения или восстановления магической силы, вам нужна правильная смесь растений:","","False","GMM_Bookstand_Alchemy_Info_1","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:34","healing plants and fire plants, combined with Forest Berry for small and Blue Elder for medium potions.","лечебные и огненные растения, смешанные с лесной ягодой (для мелких зелий) или с синей бузиной (для средних зелий).","","False","GMM_Bookstand_Alchemy_Info_2","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:35","Stronger potions call for Meadow Knotweed.","Для более сильных зелий требуется луговой горец.","","False","GMM_Bookstand_Alchemy_Info_3","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:36","To brew any potions that effect permanent changes to the body or spirit, you need two plants:","Чтобы сварить любое зелье с постоянным эффектом для тела или духа, вам потребуются два растения:","","False","GMM_Bookstand_Alchemy_Info_4","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:37","King's Sorrel and Meadow Knotweed.","царский щавель и луговой горец.","","False","GMM_Bookstand_Alchemy_Info_5","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:179","1 Goblin Berry, 1 Meadow Knotweed","1 гоблинская ягода, 1 луговой горец","","False","GMM_Bookstand_Alchemy_PermDex_Ingredients","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:180","1 Dragonroot, 1 Meadow Knotweed","1 драконий корень, 1 луговой горец","","False","GMM_Bookstand_Alchemy_PermStr_Ingredients","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:181","1 Healing Root, 1 Meadow Knotweed","1 лечебный корень, 1 луговой горец","","False","GMM_Bookstand_Alchemy_PermHP_Ingredients","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:182","1 Fire Root, 1 Meadow Knotweed","1 огненный корень, 1 луговой горец","","False","GMM_Bookstand_Alchemy_PermMana_Ingredients","",""
"Data/Scripts/Content/Story/Dialog_Mobsis/BookstandAlchemy.d:183","Brewing these recipes is the highest art of alchemy. They all have the use of king's sorrel and meadow knotweed as an ingredients in common.","Применение этих рецептов - высшее алхимическое искусство. Все они требуют царского щавеля и лугового горца.","","False","GMM_Bookstand_Alchemy_PermPotion_Info","",""
"Data/Scripts/Content/Story/Text.d:765","Temporarily incapacitates target.","Временно оглушает цель.","","False","GMM_Temp_stun","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:1","Wand of Efficiency","Посох эффективности","","False","GMM_Name_Efficiency_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:2","Spells cost 35% mana less to cast.","Снижает требование маны для заклинаний на 35%.","","False","GMM_Desc_Efficiency_Wand_V1","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:3","Spells cost 40% mana less to cast.","Снижает требование маны для заклинаний на 40%.","","False","GMM_Desc_Efficiency_Wand_V2","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:4","Spells cost 45% mana less to cast.","Снижает требование маны для заклинаний на 45%.","","False","GMM_Desc_Efficiency_Wand_V3","",""
"Data/Scripts/Content/Items/IT_GMM_Mana_Wand.d:2","Magic Wand","Магический посох","","False","GMM_Name_Mana_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Regen_Wand.d:22","Wand of Rejuvenation","Посох восстановления","","False","GMM_Name_Regen_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Summon_Wand.d:1","Summoner's Wand","Посох призывателя","","False","GMM_Name_Summon_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Summon_Wand.d:2","Extends summon duration to 3 minutes.","Продляет время призыва до 3 минут.","","False","GMM_Desc_Summon_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:7","Improve Staff","Улучшить посох","","False","GMM_Bless_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:8","Staff is now active!","Посох активен!","","False","GMM_Staff_Activated","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:9","Staff inactive","Посох не активен","","False","GMM_Staff_Inactive","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:10","I need to pray first!","Сначала я должен помолиться!","","False","GMM_Staff_Inactive_PrayFirst","",""
"Data/Scripts/Content/Items/IT_GMM_Efficiency_Wand.d:11","Activate Staff","Активировать посох","","False","GMM_Activate_Wand","",""
"Data/Scripts/Content/Items/IT_GMM_Regen_Wand.d:23","Magic Circle too low.","Слишком низкий круг магии.","","False","GMM_MagicCircleLow","",""
"Data/Scripts/Content/Items/IT_GMM_Summon_Wand.d:3","Spawns additional Goblin.","Призывает дополнительных гоблинов.","","False","GMM_Desc_Summon_Wand_V2","",""
"Data/Scripts/Content/Items/IT_GMM_Summon_Wand.d:4","Spawns additional creature.","Призывает дополнительное существо.","","False","GMM_Desc_Summon_Wand_V3","",""
